,Event,Dates,Location,Description
3452,Shine Light Show at Coolray Field,2022-12-30,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3453,Harry Potter: The Exhibition,2022-12-30,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3454,Deana Lawson Exhibit,2022-12-30,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3455,Waking Wonderland: An Immersive Experience,2022-12-30,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3456,Igloos on The Roof,2022-12-30,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3457,Winter Wonderland at Fernbank,2022-12-30,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3458,NBA Atlanta Hawks vs. Los Angeles Lakers,2022-12-30,State Farm Arena,Come cheer on the Hawks as they take on the Los Angeles Lakers at the…
3459,PAW Patrol: Adventure Play,2022-12-30,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3460,Reindeer Road by World of Illumination,2022-12-30,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3461,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-30,Chick-fil-A College Football Hall of Fame,
3462,Winter Safari Camp,2022-12-30,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3463,Indigo Girls,2022-12-30,Atlanta Symphony Hall,Folk rock music duo Indigo Girls & The Atlanta Symphony Orchestra will perform live at…
3464,Atlanta Gladiators vs. Norfolk Admirals,2022-12-30,Gas South Arena,Come cheer on the Atlanta Gladiators as they take on the Norfolk Admirals at Gas…
3465,Midtown Atlanta Food and Cocktail Tour,2022-12-30,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3466,Aldabra Tortoise Wild Encounter,2022-12-30,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3467,Holiday Lights at Brook Run Park,2022-12-30,Brook Run Park,
3468,"Garden Lights, Holiday Nights",2022-12-30,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3469,Mingle & Jingle Christmas Bar,2022-12-30,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3470,Rainbow Kitten Surprise Live In Concert,2022-12-30,The Eastern,
3471,Skate the Sky,2022-12-30,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3472,Stephen Burks Shelter in Place,2022-12-30,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3473,Igloos on the Roof,2022-12-30,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3474,Departure (The Journey Tribute Band),2022-12-30,37 Main Buford,"21+ SHOWDOORS: 7 pm Departure – The Journey Tribute About:After 13 years together, DEPARTURE has…"
3475,Giant Panda Wild Encounter,2022-12-30,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3476,Elephant Wild Encounter,2022-12-30,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3477,Rudolph the Red-Nosed Reindeer,2022-12-30,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3478,Claude Monet Immersive Exhibit,2022-12-30,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3479,The Rink at Park Tavern,2022-12-30,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3480,World of Illumination,2022-12-31,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3481,Holiday Lights at Brook Run Park,2022-12-31,Brook Run Park,
3482,Harry Potter: The Exhibition,2022-12-31,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3483,Rainbow Kitten Surprise Live In Concert,2022-12-31,The Eastern,
3484,Stranger Things: The Experience,2022-12-31,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3485,Winter Wonderland at Fernbank,2022-12-31,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3486,Deana Lawson Exhibit,2022-12-31,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3487,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-31,Chick-fil-A College Football Hall of Fame,
3488,Mingle & Jingle Christmas Bar,2022-12-31,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3489,Umphreys McGee,2022-12-31,Coca-Cola Roxy,"Progressive jammers Umphrey’s McGee will perform live at Coca-Cola Roxy on Dec 30-31, 2022."
3490,Atlanta Gladiators vs. Norfolk Admirals,2022-12-31,Gas South Arena,Come cheer on the Atlanta Gladiators as they take on the Norfolk Admirals at Gas…
3491,Waking Wonderland: An Immersive Experience,2022-12-31,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3492,Giant Panda Wild Encounter,2022-12-31,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3493,Stephen Burks Shelter in Place,2022-12-31,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3494,Reindeer Road by World of Illumination,2022-12-31,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3495,Claude Monet Immersive Exhibit,2022-12-31,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3496,"Garden Lights, Holiday Nights",2022-12-31,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3497,PAW Patrol: Adventure Play,2022-12-31,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3498,Noon Year’s Eve Celebration on the Roof,2022-12-31,Ponce City Market,Save the date for The Roof’s annual Noon Year’s Eve celebration! Skyline Park will host…
3499,Indigo Girls,2022-12-31,Atlanta Symphony Hall,Folk rock music duo Indigo Girls & The Atlanta Symphony Orchestra will perform live at…
3500,Midtown Atlanta Food and Cocktail Tour,2022-12-31,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3501,WildWoods AGLOW,2022-12-31,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3502,Elephant Wild Encounter,2022-12-31,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3503,Holiday in the Park,2022-12-31,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3504,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-31,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3505,Atlanta Brewery Tour,2022-12-31,Iron Hill Brewery – Buckhead,Tour by Southern Culinary Tours! Join us as we visit three of Atlanta’s best breweries….
3506,Igloos on the Roof,2022-12-31,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3507,The Colors of Peace Exhibit,2022-12-31,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3508,Chick-fil-a Peach Bowl 2022,2022-12-31,Mercedes-Benz Stadium,
3509,Rudolph the Red-Nosed Reindeer,2022-12-31,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3510,Skate the Station,2022-12-31,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3511,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-31,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3512,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-31,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3513,Igloos on The Roof,2022-12-31,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3514,Celebration at the Station,2022-12-31,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3515,The Veranda Jewel Box,2022-12-31,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3516,The Rink at Park Tavern,2022-12-31,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3517,Aldabra Tortoise Wild Encounter,2022-12-31,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3518,Shine Light Show at Coolray Field,2022-12-31,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3519,All-Inclusive NYE Party with Electric Avenue,2022-12-31,Park Tavern,"Ring in the New Year with Electric Avenue, The 80’s MTV Experience NYE at the…"
3520,Holiday Catering with Grecian Gyro,2022-12-31,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3521,Skate the Sky,2022-12-31,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3522,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-01,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3523,Skate the Sky,2023-01-01,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3524,Sunday Spiritual Festival,2023-01-01,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
3525,Shine Light Show at Coolray Field,2023-01-01,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3526,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-01,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3527,Reindeer Road by World of Illumination,2023-01-01,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3528,Harry Potter: The Exhibition,2023-01-01,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3529,PAW Patrol: Adventure Play,2023-01-01,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3530,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-01,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3531,Atlanta Falcons vs. Arizona Cardinals – Jan. 1,2023-01-01,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Arizona Cardinals in an exciting NFL match-up…
3532,WildWoods AGLOW,2023-01-01,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3533,Stephen Burks Shelter in Place,2023-01-01,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3534,"Garden Lights, Holiday Nights",2023-01-01,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3535,Atlanta Gladiators vs. Savannah Ghost Pirates,2023-01-01,Gas South Arena,
3536,Igloos on The Roof,2023-01-01,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3537,Holiday in the Park,2023-01-01,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3538,The Colors of Peace Exhibit,2023-01-01,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3539,Midtown Atlanta Food and Cocktail Tour,2023-01-01,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3540,Deana Lawson Exhibit,2023-01-01,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3541,Winter Wonderland at Fernbank,2023-01-01,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3542,Celebration at the Station,2023-01-01,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3543,World of Illumination,2023-01-01,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3544,The Rink at Park Tavern,2023-01-01,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3545,Skate the Station,2023-01-01,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3546,Igloos on the Roof,2023-01-01,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3547,Igloos on the Roof,2023-01-02,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3548,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-02,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3549,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-02,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3550,Skate the Station,2023-01-02,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3551,Harry Potter: The Exhibition,2023-01-02,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3552,WildWoods AGLOW,2023-01-02,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3553,The Colors of Peace Exhibit,2023-01-02,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3554,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-02,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3555,Skate the Sky,2023-01-02,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3556,"Garden Lights, Holiday Nights",2023-01-02,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3557,PAW Patrol: Adventure Play,2023-01-02,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3558,Celebration at the Station,2023-01-02,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3559,Winter Wonderland at Fernbank,2023-01-02,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3560,Igloos on The Roof,2023-01-02,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3561,The Rink at Park Tavern,2023-01-02,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3562,Igloos on the Roof,2023-01-03,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3563,Winter Wonderland at Fernbank,2023-01-03,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3564,WildWoods AGLOW,2023-01-03,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3565,Stephen Burks Shelter in Place,2023-01-03,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3566,Deana Lawson Exhibit,2023-01-03,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3567,Harry Potter: The Exhibition,2023-01-03,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3568,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-03,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3569,Celebration at the Station,2023-01-03,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3570,Harry Potter Trivia Series,2023-01-03,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
3571,The Colors of Peace Exhibit,2023-01-03,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3572,The Rink at Park Tavern,2023-01-03,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3573,Skate the Station,2023-01-03,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3574,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-03,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3575,Skate the Sky,2023-01-03,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3576,PAW Patrol: Adventure Play,2023-01-03,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3577,"Garden Lights, Holiday Nights",2023-01-03,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3578,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-03,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3579,Igloos on The Roof,2023-01-03,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3580,PAW Patrol: Adventure Play,2023-01-04,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3581,The Colors of Peace Exhibit,2023-01-04,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3582,Igloos on The Roof,2023-01-04,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3583,Igloos on the Roof,2023-01-04,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3584,Stephen Burks Shelter in Place,2023-01-04,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3585,WildWoods AGLOW,2023-01-04,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3586,The Rink at Park Tavern,2023-01-04,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3587,Harry Potter: The Exhibition,2023-01-04,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3588,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-04,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3589,Biggerstaff Brewing Company Trivia,2023-01-04,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
3590,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-04,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3591,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-04,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3592,Skate the Station,2023-01-04,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3593,Skate the Sky,2023-01-04,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3594,Winter Wonderland at Fernbank,2023-01-04,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3595,"Garden Lights, Holiday Nights",2023-01-04,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3596,Deana Lawson Exhibit,2023-01-04,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3597,"Garden Lights, Holiday Nights",2023-01-05,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3598,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-05,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3599,WildWoods AGLOW,2023-01-05,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3600,Stephen Burks Shelter in Place,2023-01-05,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3601,Winter Wonderland at Fernbank,2023-01-05,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3602,The Rink at Park Tavern,2023-01-05,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3603,Igloos on the Roof,2023-01-05,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3604,Midtown Atlanta Food and Cocktail Tour,2023-01-05,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3605,PAW Patrol: Adventure Play,2023-01-05,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3606,The Colors of Peace Exhibit,2023-01-05,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3607,Deana Lawson Exhibit,2023-01-05,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3608,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-05,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3609,"$5 Pints, $10 Crowlers ALL DAY",2023-01-05,Biggerstaff Brewing Company,3 beer options and they change every week! Special runs ALL DAY! $5 Select Pints…
3610,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-05,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3611,Skate the Station,2023-01-05,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3612,Skate the Sky,2023-01-05,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3613,Harry Potter: The Exhibition,2023-01-05,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3614,Igloos on The Roof,2023-01-05,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3615,Midtown Atlanta Food and Cocktail Tour,2023-01-06,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3616,"Garden Lights, Holiday Nights",2023-01-06,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3617,WildWoods AGLOW,2023-01-06,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3618,Winter Wonderland at Fernbank,2023-01-06,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3619,Skate the Station,2023-01-06,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3620,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-06,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3621,Skate the Sky,2023-01-06,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3622,PAW Patrol: Adventure Play,2023-01-06,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3623,Stephen Burks Shelter in Place,2023-01-06,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3624,The Rink at Park Tavern,2023-01-06,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3625,Igloos on The Roof,2023-01-06,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3626,Deana Lawson Exhibit,2023-01-06,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3627,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-06,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3628,The Colors of Peace Exhibit,2023-01-06,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3629,Harry Potter: The Exhibition,2023-01-06,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3630,Igloos on the Roof,2023-01-06,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3631,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-06,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3632,The Rink at Park Tavern,2023-01-07,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3633,Midtown Atlanta Food and Cocktail Tour,2023-01-07,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3634,Skate the Sky,2023-01-07,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3635,"Garden Lights, Holiday Nights",2023-01-07,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3636,PAW Patrol: Adventure Play,2023-01-07,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3637,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-07,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3638,The Colors of Peace Exhibit,2023-01-07,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3639,WildWoods AGLOW,2023-01-07,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3640,Stephen Burks Shelter in Place,2023-01-07,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3641,Deana Lawson Exhibit,2023-01-07,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3642,Igloos on The Roof,2023-01-07,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3643,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-07,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3644,Igloos on the Roof,2023-01-07,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3645,Skate the Station,2023-01-07,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3646,Harry Potter: The Exhibition,2023-01-07,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
