,Event,Dates,Location,Description
3485,Stephen Burks Shelter in Place,2022-12-24,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3486,Igloos on the Roof,2022-12-24,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3487,PAW Patrol: Adventure Play,2022-12-24,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3488,Claude Monet Immersive Exhibit,2022-12-24,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3489,The Rink at Park Tavern,2022-12-24,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3490,Igloos on The Roof,2022-12-24,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3491,"Garden Lights, Holiday Nights",2022-12-24,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3492,Deana Lawson Exhibit,2022-12-24,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3493,Rudolph the Red-Nosed Reindeer,2022-12-24,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3494,Midtown Atlanta Food and Cocktail Tour,2022-12-24,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3495,Waking Wonderland: An Immersive Experience,2022-12-24,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3496,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-24,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3497,Mingle & Jingle Christmas Bar,2022-12-24,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3498,WildWoods AGLOW,2022-12-24,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3499,Stranger Things: The Experience,2022-12-24,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3500,Cirque Du Soleil – Kurios,2022-12-24,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
3501,Holiday Lights at Brook Run Park,2022-12-24,Brook Run Park,
3502,World of Illumination,2022-12-24,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3503,Holiday Lights at Brook Run Park,2022-12-25,Brook Run Park,
3504,Midtown Atlanta Food and Cocktail Tour,2022-12-25,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3505,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-25,Chick-fil-A College Football Hall of Fame,
3506,The Colors of Peace Exhibit,2022-12-25,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3507,Giant Panda Wild Encounter,2022-12-25,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3508,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-25,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3509,Skate the Station,2022-12-25,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3510,Igloos on The Roof,2022-12-25,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3511,Holiday in the Park,2022-12-25,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3512,Stephen Burks Shelter in Place,2022-12-25,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3513,Winter Wonderland at Fernbank,2022-12-25,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3514,WildWoods AGLOW,2022-12-25,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3515,Mingle & Jingle Christmas Bar,2022-12-25,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3516,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-25,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3517,Waking Wonderland: An Immersive Experience,2022-12-25,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3518,Claude Monet Immersive Exhibit,2022-12-25,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3519,The Rink at Park Tavern,2022-12-25,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3520,"Garden Lights, Holiday Nights",2022-12-25,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3521,The Veranda Jewel Box,2022-12-25,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3522,Reindeer Road by World of Illumination,2022-12-25,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3523,Sunday Spiritual Festival,2022-12-25,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
3524,Skate the Sky,2022-12-25,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3525,Shine Light Show at Coolray Field,2022-12-25,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3526,Elephant Wild Encounter,2022-12-25,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3527,Celebration at the Station,2022-12-25,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3528,Stranger Things: The Experience,2022-12-25,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3529,Holiday Catering with Grecian Gyro,2022-12-25,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3530,Harry Potter: The Exhibition,2022-12-25,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3531,World of Illumination,2022-12-25,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3532,PAW Patrol: Adventure Play,2022-12-25,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3533,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-25,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3534,Igloos on the Roof,2022-12-25,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3535,Deana Lawson Exhibit,2022-12-25,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3536,Rudolph the Red-Nosed Reindeer,2022-12-25,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3537,Claude Monet Immersive Exhibit,2022-12-26,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3538,Stranger Things: The Experience,2022-12-26,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3539,Celebration at the Station,2022-12-26,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3540,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-26,Chick-fil-A College Football Hall of Fame,
3541,Skate the Sky,2022-12-26,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3542,"Garden Lights, Holiday Nights",2022-12-26,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3543,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-26,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3544,Aldabra Tortoise Wild Encounter,2022-12-26,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3545,The Rink at Park Tavern,2022-12-26,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3546,The Veranda Jewel Box,2022-12-26,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3547,Atlanta Ballet – The Nutcracker,2022-12-26,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3548,Elephant Wild Encounter,2022-12-26,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3549,Harry Potter: The Exhibition,2022-12-26,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3550,WildWoods AGLOW,2022-12-26,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3551,Rudolph the Red-Nosed Reindeer,2022-12-26,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3552,Holiday in the Park,2022-12-26,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3553,Igloos on the Roof,2022-12-26,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3554,PAW Patrol: Adventure Play,2022-12-26,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3555,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-26,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3556,World of Illumination,2022-12-26,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3557,Shine Light Show at Coolray Field,2022-12-26,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3558,Holiday Catering with Grecian Gyro,2022-12-26,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3559,Winter Wonderland at Fernbank,2022-12-26,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3560,Waking Wonderland: An Immersive Experience,2022-12-26,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3561,Giant Panda Wild Encounter,2022-12-26,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3562,Skate the Station,2022-12-26,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3563,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-26,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3564,Holiday Lights at Brook Run Park,2022-12-26,Brook Run Park,
3565,Igloos on The Roof,2022-12-26,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3566,Reindeer Road by World of Illumination,2022-12-26,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3567,Winter Safari Camp,2022-12-26,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3568,The Colors of Peace Exhibit,2022-12-26,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3569,The Veranda Jewel Box,2022-12-27,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3570,Harry Potter Trivia Series,2022-12-27,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
3571,Claude Monet Immersive Exhibit,2022-12-27,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3572,Stephen Burks Shelter in Place,2022-12-27,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3573,Skate the Sky,2022-12-27,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3574,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-27,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3575,Harry Potter: The Exhibition,2022-12-27,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3576,World of Illumination,2022-12-27,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3577,WildWoods AGLOW,2022-12-27,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3578,Winter Wonderland at Fernbank,2022-12-27,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3579,The Rink at Park Tavern,2022-12-27,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3580,Holiday in the Park,2022-12-27,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3581,Rudolph the Red-Nosed Reindeer,2022-12-27,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3582,Shine Light Show at Coolray Field,2022-12-27,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3583,The Colors of Peace Exhibit,2022-12-27,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3584,Igloos on the Roof,2022-12-27,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3585,Stranger Things: The Experience,2022-12-27,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3586,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-27,Chick-fil-A College Football Hall of Fame,
3587,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-27,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3588,$1 Happy Hour Oysters,2022-12-27,Biggerstaff Brewing Company,
3589,Igloos on The Roof,2022-12-27,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3590,Reindeer Road by World of Illumination,2022-12-27,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3591,Holiday Lights at Brook Run Park,2022-12-27,Brook Run Park,
3592,Holiday Catering with Grecian Gyro,2022-12-27,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3593,Deana Lawson Exhibit,2022-12-27,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3594,Skate the Station,2022-12-27,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3595,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-27,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3596,Winter Safari Camp,2022-12-27,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3597,"Garden Lights, Holiday Nights",2022-12-27,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3598,Waking Wonderland: An Immersive Experience,2022-12-27,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3599,Mingle & Jingle Christmas Bar,2022-12-27,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3600,Celebration at the Station,2022-12-27,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3601,PAW Patrol: Adventure Play,2022-12-27,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3602,Waking Wonderland: An Immersive Experience,2022-12-28,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3603,The Veranda Jewel Box,2022-12-28,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3604,Mingle & Jingle Christmas Bar,2022-12-28,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3605,NBA Atlanta Hawks vs. Brooklyn Nets,2022-12-28,State Farm Arena,Come cheer on the Hawks as they take on the Brooklyn Nets at the State…
3606,Holiday Catering with Grecian Gyro,2022-12-28,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3607,Reindeer Road by World of Illumination,2022-12-28,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3608,Stephen Burks Shelter in Place,2022-12-28,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3609,Celebration at the Station,2022-12-28,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3610,Biggerstaff Brewing Company Trivia,2022-12-28,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
3611,Claude Monet Immersive Exhibit,2022-12-28,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3612,PAW Patrol: Adventure Play,2022-12-28,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3613,The Rink at Park Tavern,2022-12-28,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3614,The Colors of Peace Exhibit,2022-12-28,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3615,Finely Crafted: Cocktails and Comedy,2022-12-28,Atlanta,
3616,Igloos on the Roof,2022-12-28,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3617,Skate the Station,2022-12-28,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3618,Igloos on The Roof,2022-12-28,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3619,Winter Safari Camp,2022-12-28,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3620,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-28,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3621,Holiday Lights at Brook Run Park,2022-12-28,Brook Run Park,
3622,Stranger Things: The Experience,2022-12-28,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3623,Deana Lawson Exhibit,2022-12-28,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3624,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-28,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3625,"Garden Lights, Holiday Nights",2022-12-28,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3626,Wednesday Night Laughs,2022-12-28,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
3627,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-28,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3628,WildWoods AGLOW,2022-12-28,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3629,Harry Potter: The Exhibition,2022-12-28,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3630,Rudolph the Red-Nosed Reindeer,2022-12-28,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3631,World of Illumination,2022-12-28,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3632,Shine Light Show at Coolray Field,2022-12-28,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3633,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-28,Chick-fil-A College Football Hall of Fame,
3634,Holiday in the Park,2022-12-28,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3635,Skate the Sky,2022-12-28,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3636,Winter Wonderland at Fernbank,2022-12-28,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3637,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-29,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3638,Stephen Burks Shelter in Place,2022-12-29,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3639,The Colors of Peace Exhibit,2022-12-29,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3640,Winter Wonderland at Fernbank,2022-12-29,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3641,WildWoods AGLOW,2022-12-29,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3642,Mingle & Jingle Christmas Bar,2022-12-29,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3643,Midtown Atlanta Food and Cocktail Tour,2022-12-29,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3644,Shine Light Show at Coolray Field,2022-12-29,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3645,"$5 Pints, $10 Crowlers ALL DAY",2022-12-29,Biggerstaff Brewing Company,3 beer options and they change every week! Special runs ALL DAY! $5 Select Pints…
3646,Holiday in the Park,2022-12-29,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3647,Reindeer Road by World of Illumination,2022-12-29,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3648,Winter Safari Camp,2022-12-29,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3649,Claude Monet Immersive Exhibit,2022-12-29,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3650,Igloos on the Roof,2022-12-29,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3651,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-29,Chick-fil-A College Football Hall of Fame,
3652,World of Illumination,2022-12-29,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3653,Harry Potter: The Exhibition,2022-12-29,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3654,Igloos on The Roof,2022-12-29,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3655,Rudolph the Red-Nosed Reindeer,2022-12-29,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3656,"Garden Lights, Holiday Nights",2022-12-29,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3657,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-29,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3658,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-29,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3659,Holiday Lights at Brook Run Park,2022-12-29,Brook Run Park,
3660,The Rink at Park Tavern,2022-12-29,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3661,Skate the Sky,2022-12-29,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3662,Deana Lawson Exhibit,2022-12-29,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3663,The Veranda Jewel Box,2022-12-29,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3664,Celebration at the Station,2022-12-29,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3665,Skate the Station,2022-12-29,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3666,Stranger Things: The Experience,2022-12-29,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3667,PAW Patrol: Adventure Play,2022-12-29,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3668,Mother’s Finest Live In Concert,2022-12-29,Buckhead Theatre,"Rock band Mother’s Finest will perform live at Buckhead Theatre on Thu, Dec 29 at…"
3669,Holiday Catering with Grecian Gyro,2022-12-29,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3670,Waking Wonderland: An Immersive Experience,2022-12-29,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3671,WildWoods AGLOW,2022-12-30,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3672,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-30,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3673,NBA Atlanta Hawks vs. Los Angeles Lakers,2022-12-30,State Farm Arena,Come cheer on the Hawks as they take on the Los Angeles Lakers at the…
3674,Elephant Wild Encounter,2022-12-30,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3675,Umphreys McGee,2022-12-30,Coca-Cola Roxy,"Progressive jammers Umphrey’s McGee will perform live at Coca-Cola Roxy on Dec 30-31, 2022."
3676,Deana Lawson Exhibit,2022-12-30,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3677,Aldabra Tortoise Wild Encounter,2022-12-30,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3678,Holiday Catering with Grecian Gyro,2022-12-30,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3679,Shine Light Show at Coolray Field,2022-12-30,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3680,Departure (The Journey Tribute Band),2022-12-30,37 Main Buford,"21+ SHOWDOORS: 7 pm Departure – The Journey Tribute About:After 13 years together, DEPARTURE has…"
3681,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-30,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3682,Giant Panda Wild Encounter,2022-12-30,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3683,Midtown Atlanta Food and Cocktail Tour,2022-12-30,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3684,Harry Potter: The Exhibition,2022-12-30,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
